"motusRecvID","recvProjectID","receiverID","recvDeployID","port","antennaType","bearing","magneticBearing","trueBearing","tilt","polBearing","polTilt","heightMeters","filter","cableLengthMeters","cableType","mountDistanceMeters","mountBearing","details","elevationAngle","polarization1","polarization2","deploymentStatus","dongle_type","frequency"
"383","1","SG-5113BBBK0173","681","1","yagi-9-laird","65.0","65.0","51.313793","","","","6.0","","6.0","RG58","","","","","","","terminated","Funcube Pro Plus","166.38"
"383","1","SG-5113BBBK0173","681","2","yagi-9-laird","250.0","250.0","236.3138","","","","5.8","","6.0","RG58","","","","","","","terminated","Funcube Pro Plus","166.38"
"383","1","SG-5113BBBK0173","681","3","yagi-9-laird","160.0","160.0","146.3138","","","","5.6","","6.0","RG58","","","","","","","terminated","Funcube Pro Plus","166.38"
"383","1","SG-5113BBBK0173","3560","1","yagi-9-laird","65.0","65.0","51.41801","","","","","","","","","","","","","","terminated","Funcube Pro Plus","166.38"
"383","1","SG-5113BBBK0173","3560","2","yagi-9-laird","250.0","250.0","236.41801","","","","5.8","","6.0","RG58","","","","","","","terminated","Funcube Pro Plus","166.38"
"383","1","SG-5113BBBK0173","3560","3","yagi-9-laird","160.0","160.0","146.41801","","","","5.6","","6.0","RG58","","","","","","","terminated","Funcube Pro Plus","166.38"
"383","1","SG-5113BBBK0173","7722","1","yagi-9-laird","0.0","0.0","349.8035","","","","6.0","","","","","","","","","","terminated","Funcube Pro Plus","166.38"
"383","1","SG-5113BBBK0173","7722","2","yagi-9-laird","270.0","270.0","259.8035","","","","5.8","","6.0","RG58","","","","","","","terminated","Funcube Pro Plus","166.38"
"383","1","SG-5113BBBK0173","7722","3","yagi-9-laird","160.0","160.0","149.8035","","","","5.6","","6.0","RG58","","","","","","","terminated","Funcube Pro Plus","166.38"
"383","1","SG-5113BBBK0173","8102","1","yagi-9-laird","345.0","345.0","","","","","","","","","","","","","","","terminated","Funcube Pro Plus","166.38"
"383","1","SG-5113BBBK0173","8102","2","yagi-9-laird","205.0","205.0","","","","","","","","","","","","","","","terminated","Funcube Pro Plus","166.38"
"383","1","SG-5113BBBK0173","8102","3","yagi-9-laird","100.0","100.0","","","","","","","","","","","","","","","terminated","Funcube Pro Plus","166.38"
"384","1","SG-5113BBBK0324","657","1","yagi-9-laird","0.0","0.0","349.91003","","","","6.0","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"384","1","SG-5113BBBK0324","657","2","yagi-9-laird","240.0","240.0","229.91003","","","","5.8","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"384","1","SG-5113BBBK0324","657","3","yagi-9-laird","120.0","120.0","109.910034","","","","5.6","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"384","1","SG-5113BBBK0324","755","1","yagi-9-laird","345.0","345.0","334.90646","","","","6.0","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"384","1","SG-5113BBBK0324","755","2","yagi-9-laird","205.0","205.0","194.90645","","","","5.8","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"384","1","SG-5113BBBK0324","755","3","yagi-9-laird","100.0","100.0","89.906456","","","","5.6","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"384","1","SG-5113BBBK0324","2029","1","yagi-9-laird","345.0","345.0","334.90308","","","","4.5","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"384","1","SG-5113BBBK0324","2029","2","yagi-9-laird","205.0","205.0","194.90308","","","","4.3","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"384","1","SG-5113BBBK0324","2029","3","yagi-9-laird","100.0","100.0","89.903076","","","","4.1","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"384","1","SG-5113BBBK0324","2107","1","yagi-9-laird","345.0","345.0","","","","","6.0","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"384","1","SG-5113BBBK0324","2107","2","yagi-9-laird","205.0","205.0","","","","","5.8","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"384","1","SG-5113BBBK0324","2107","3","yagi-9-laird","100.0","100.0","","","","","5.6","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"384","1","SG-5113BBBK0324","3732","2","yagi-9-laird","205.0","205.0","","","","","5.8","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"384","1","SG-5113BBBK0324","3732","3","yagi-9-laird","100.0","100.0","","","","","5.6","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"385","1","SG-5113BBBK0333","647","1","yagi-9-laird","0.0","0.0","","","","","6.0","","7.62","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"385","1","SG-5113BBBK0333","647","2","yagi-9-laird","240.0","240.0","","","","","5.8","","7.62","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"385","1","SG-5113BBBK0333","647","3","yagi-9-laird","120.0","120.0","","","","","5.6","","7.62","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"385","1","SG-5113BBBK0333","764","1","yagi-9-laird","25.0","25.0","","","","","6.0","","7.62","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"385","1","SG-5113BBBK0333","764","2","yagi-9-laird","230.0","230.0","","","","","5.8","","7.62","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"385","1","SG-5113BBBK0333","764","3","yagi-9-laird","120.0","120.0","","","","","5.6","","7.62","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"385","1","SG-5113BBBK0333","2001","1","yagi-9-laird","15.0","15.0","","","","","","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"385","1","SG-5113BBBK0333","2001","2","yagi-9-laird","235.0","235.0","","","","","","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"385","1","SG-5113BBBK0333","2001","3","yagi-9-laird","130.0","130.0","","","","","","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"385","1","SG-5113BBBK0333","2163","1","yagi-9-laird","15.0","15.0","","","","","6.0","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"385","1","SG-5113BBBK0333","2163","2","yagi-9-laird","235.0","235.0","","","","","5.8","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"385","1","SG-5113BBBK0333","2163","3","yagi-9-laird","130.0","130.0","","","","","5.6","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"385","1","SG-5113BBBK0333","3760","2","yagi-9-laird","235.0","235.0","","","","","5.8","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"385","1","SG-5113BBBK0333","3760","3","yagi-9-laird","130.0","130.0","","","","","5.6","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"385","1","SG-5113BBBK0333","3960","2","yagi-9-laird","235.0","235.0","226.23604","","","","5.8","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"385","1","SG-5113BBBK0333","3960","3","yagi-9-laird","130.0","130.0","121.23603","","","","5.6","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"385","1","SG-5113BBBK0333","5756","1","yagi-9-laird","25.0","25.0","","","","","","","","","","","","","","","terminated","Funcube Pro","166.38"
"385","1","SG-5113BBBK0333","5756","2","yagi-9-laird","235.0","235.0","226.17801","","","","5.8","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"385","1","SG-5113BBBK0333","5756","3","yagi-9-laird","130.0","130.0","121.17802","","","","5.6","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"385","1","SG-5113BBBK0333","5757","1","yagi-9-laird","25.0","25.0","16.164263","","","","","","","","","","","","","","terminated","Funcube Pro Plus","166.38"
"385","1","SG-5113BBBK0333","5757","2","yagi-9-laird","235.0","235.0","226.16426","","","","5.8","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"385","1","SG-5113BBBK0333","5757","3","yagi-9-laird","130.0","130.0","121.16426","","","","5.6","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"385","1","SG-5113BBBK0333","7358","1","yagi-9-laird","25.0","25.0","16.137602","","","","","","","","","","","","","","terminated","Funcube Pro Plus","166.38"
"385","1","SG-5113BBBK0333","7358","3","yagi-9-laird","130.0","130.0","121.1376","","","","5.6","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"386","1","SG-5113BBBK0425","664","1","yagi-9-laird","225.0","225.0","","","","","6.0","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"386","1","SG-5113BBBK0425","664","3","yagi-9-laird","180.0","180.0","","","","","5.6","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"386","1","SG-5113BBBK0425","737","1","yagi-9-laird","225.0","225.0","","","","","6.0","","7.62","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"386","1","SG-5113BBBK0425","737","2","yagi-9-laird","270.0","270.0","","","","","5.8","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"386","1","SG-5113BBBK0425","737","3","yagi-9-laird","180.0","180.0","","","","","5.6","","7.62","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"386","1","SG-5113BBBK0425","2115","1","yagi-9-laird","270.0","270.0","","","","","6.0","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
"386","1","SG-5113BBBK0425","2115","2","yagi-9-laird","180.0","180.0","","","","","5.8","","","","","","","","","","terminated","Funcube; Unconfirmed","166.38"
